w1578251658	everybody	2024	Even though she was a single mother and didn’t have much money to raise her daughter by herself, she was always cheerful and making everybody laugh.	彼女はシングルマザーで、娘を一人で育てるためのお金もあまりありませんでしたが、いつも明るく、みんなを笑わせていました。
w3056610011	similar	2026	I hope I can go back one day and I hope you might also consider having a similar adventure of your own.	いつかまた戻れたらと思いますし、あなたも同じような冒険をしてみようと考えてくれたらうれしいです。
w2386378786	useful	2020	If something is useful, it will help you to do or get what you want.	何かがusefulなら、それはあなたがしたいことや手に入れたいものを実現する助けになります。
w2612830811	organization	2024	Altogether, a total of 1,000 were planted in Tokyo, 561 in the Tohoku region to remember the tsunami victims, and the rest were sent to schools and other organizations throughout the country.	全部で1,000本が植えられ、そのうち561本は津波犠牲者を追悼するため東北地方に植えられ、残りは全国の学校やほかの団体へ送られました。
w3816561186	material	2026	G ) is waste material or unwanted things that you throw away.	G )とは、捨てる廃棄物や不要な物のことです。
w3354674490	medicine	2024	Medicine is something that you drink or swallow in order to cure an illness.	Medicineとは、病気を治すために飲んだり飲み込んだりするものです。
w3267394428	population	2025	They make up about 45% of Peru's population.	彼らはペルーの人口のおよそ45％を占めています。
w1023452426	communicate	2025	The Incas had many stone roads and good ways to communicate between their cities.	インカには多くの石造りの道路があり、都市間で連絡を取るための優れた方法がありました。
w3897322499	condition	2020	The (w ) is the condition of the atmosphere in one area at a particular time; for example, it is raining, hot, or windy.	(w )とは、ある地域のある時点での大気の状態のことで、例えば雨、暑さ、風などです。
w4037589691	particular	2020	The (w ) is the condition of the atmosphere in one area at a particular time; for example, it is raining, hot, or windy.	(w )とは、ある地域のある時点での大気の状態のことで、例えば雨、暑さ、風などです。
w1609076761	responsibility	2020	“I don’t like the responsibility of having a base.”	「拠点を持つ責任は好きじゃないんだ。」
w2106363633	disappear	2020	Before the summer was over, Sheila’s spell over me was gone, but the memory of losing the [ ] never disappeared.	夏が終わる前にはシーラの私への魅力は消えていましたが、バスを失った記憶は決して消えませんでした。
w3237484822	responsible	2020	Who is responsible for this plastic trash?	このプラスチックごみの責任は誰にあるのでしょうか。
w1995643166	discover	2020	We do know that it first began to form many years before it was first discovered in 1997 by a man called Charles Moore.	分かっているのは、チャールズ・ムーアという男性によって1997年に初めて発見されるより何年も前から形成され始めていたということです。
w0110799426	decrease	2020	We need to reduce, reuse and recycle our trash more so that we can help to decrease the size of the Pacific Trash Vortex in order to save our oceans and marine life before it’s too late.	手遅れになる前に海や海洋生物を守るため、Pacific Trash Vortexの大きさを小さくできるよう、私たちはごみをもっと減らし、再使用し、リサイクルする必要があります。
w0081410715	volunteer	2021	volunteer	志願者、ボランティア／進んで行う
w3724388820	government	2021	government	政府
w0240821276	impossible	2021	However, it was impossible for him to gather a hundred pesos.	しかし、彼が100ペソを集めることは不可能でした。
w3410911413	worldwide	2021	Corals are dying worldwide because of rising sea temperatures.	海水温の上昇により、世界中でサンゴが死につつあります。
w0056235892	create	2019	In the past, scientists tried to create antibiotics inside scientific laboratories.	かつて科学者たちは、科学研究所の中で抗生物質を作ろうとしていました。
w0990983764	president	2022	president	大統領、会長
w3100420464	death	2022	“How you shot the goat and shocked the [ ] to death,” said Miss Mebbin, with a laugh.	「あなたがどうやってヤギを撃って、［ ］を驚かせて死なせたかよ」とミス・メビンは笑いながら言いました。
w2081736161	advantage	2022	Miss Mebbin took advantage of Mrs Packletide’s secret in order to get what she wanted.	ミス・メビンは、自分の望むものを手に入れるため、ミセス・パクルタイドの秘密につけ込みました。
w2338232422	harmful	2022	Many scientists believe this could be harmful to the brain.	多くの科学者は、これは脳に有害かもしれないと考えています。
w1294360416	issue	2022	It also asked about times they experienced attention issues and memory problems.	また、注意力の問題や記憶の問題を経験した時についても尋ねました。
w4030289911	spread	2023	spread	広がる、広げる
w3854520425	weapon	2023	weapon	武器
w3336590452	character	2023	character	性格、登場人物、文字
w0129326522	official	2023	official	公式の、公的な／職員
w1096424710	formal	2023	A (c ) is a formal event that is performed on important social or religious occasions.	(c )とは、重要な社会的または宗教的な機会に行われる正式な行事です。
w0601096093	religious	2023	A (c ) is a formal event that is performed on important social or religious occasions.	(c )とは、重要な社会的または宗教的な機会に行われる正式な行事です。
w0363115346	occasion	2023	A (c ) is a formal event that is performed on important social or religious occasions.	(c )とは、重要な社会的または宗教的な機会に行われる正式な行事です。
w0922036421	hire	2023	“I wouldn’t buy anything, but I would hire a detective to help me find something I lost.”	「何も買わないけど、失くしたものを見つけるのを手伝ってもらうために探偵を雇うよ。」
w3808354820	protect	2023	They live in groups of up to 12 birds and work together to protect the area they live in.	彼らは最大12羽の群れで暮らし、自分たちの住む地域を守るために協力します。
w1853164701	passenger	2024	passenger	乗客
w0463310366	energy	2024	If you (w ) something such as time, money, or energy, you use too much of it doing something that is not important or necessary.	時間・お金・エネルギーなどを(w )するとは、重要でも必要でもないことにそれを使いすぎることです。
w3882035712	necessary	2024	If you (w ) something such as time, money, or energy, you use too much of it doing something that is not important or necessary.	時間・お金・エネルギーなどを(w )するとは、重要でも必要でもないことにそれを使いすぎることです。
w2244350507	illness	2024	M ) is something that you drink or swallow in order to cure an illness.	M )とは、病気を治すために飲んだり飲み込んだりするものです。
w2052490631	relationship	2024	Countries often exchange gifts to help build good relationships.	国々は良い関係を築くために、しばしば贈り物を交換します。
w3085519971	prevent	2025	to prevent damage during earthquakes	地震の際の被害を防ぐために
w3725305974	gesture	2025	gesture	身ぶり、ジェスチャー
w1920166661	greet	2025	greet	あいさつする
w3786485879	eventually	2025	Eventually, I fell asleep.	やがて私は眠りに落ちました。
w1894740916	society	2019	This was because society changed as people realized that girls also needed an education.	これは、人々が女子にも教育が必要だと気づくにつれて社会が変化したためです。
w0501866609	influence	2025	A researcher believes that social expectations may influence how children behave in certain clothes.	ある研究者は、社会的な期待が、子どもたちが特定の服装をしたときの行動に影響する可能性があると考えています。
w3562927286	local	2019	The local flower shop sells beautiful red roses and yellow sunflowers.	地元の花屋では、美しい赤いバラと黄色いヒマワリを売っています。
w2758950019	proof	2025	There is even proof that the Incas did brain surgeries!	インカ人が脳の手術までしていた証拠さえあります。
w2196408633	technology	2025	They mix farming and herding with simple technology.	彼らは農業と牧畜を簡単な技術と組み合わせています。
w1325048947	community	2025	Their communities are close, with families usually marrying other Quechua-speakers.	彼らの共同体は結びつきが強く、家族はたいてい他のケチュア語話者と結婚します。
w3587199673	award	2026	award	賞／授与する
w1009689080	unique	2026	unique	独特の、唯一の
w0988041121	website	2026	website	ウェブサイト
w2918711561	unwanted	2026	G ) is waste material or unwanted things that you throw away.	G )とは、捨てる廃棄物や不要な物のことです。
w3924275853	professional	2026	I think it’s better to have professional cleaners.	専門の清掃員に任せたほうがいいと思います。
w3477336402	valuable	2026	It could be very valuable,” he said.	「とても価値があるかもしれない」と彼は言いました。
w2378235364	succeed	2026	This teamwork helped them succeed.	この協力によって、彼らは成功することができました。
w1273604640	coral	2021	That’s the world’s largest coral reef and home to many sea animals.	それは世界最大のサンゴ礁で、多くの海の動物のすみかです。
w1452406406	magpie	2023	An adult female magpie was [ ] out another magpie in getting free from its harness.	成鳥のメスのカササギが、別のカササギがハーネスから抜け出すのを助けていました。
w3521657065	tracker	2023	The researchers also developed a special harness for the tracker.	研究者たちは追跡装置のための特別なハーネスも開発しました。
w1350006029	dogwood	2024	Question 1: When did the United States decide to send 3,000 dogwood trees to Japan?	問1：アメリカはいつ3,000本のハナミズキを日本に送ることを決めましたか。
w3861370000	animal	2023	Today's class is going to be covering this common animal action.	今日の授業では、このよく見られる動物の行動について扱います。
w2329626117	next	2022	I am calling because I need to talk to you about next Saturday.	次の土曜日のことであなたに話す必要があるので電話しています。
w3035475489	scientist	2026	Of course, not all scientists agree.	もちろん、すべての科学者が同意しているわけではありません。
w0952903570	tiger	2022	Even some goats were placed here and there to feed the tiger.	トラに餌を与えるため、何頭かのヤギまであちこちに置かれました。
w3690532084	bee	2024	One bee rolled a ball 117 times!	あるミツバチはボールを117回転がしました。
w2739793162	peanut	2020	In the school cafeteria, he sits far from classmates who are eating peanut butter.	学校の食堂では、彼はピーナッツバターを食べているクラスメートから離れて座ります。
