w90348364103388	ready	2023	Do you remember how we spent weeks beforehand getting ready?	前もって何週間もかけて準備したことを覚えていますか。
w90726682583571	record	2024	“Everyone, let’s go inside — and, boys, carry the table and the record player in,” a teacher shouted.	「みんな、中へ入りましょう。それから男子は、テーブルとレコードプレーヤーを運び込んで」と先生が叫びました。
w90002174402246	recycle	2020	We need to reduce, reuse and recycle our trash more so that we can help to decrease the size of the Pacific Trash Vortex in order to save our oceans and marine life before it’s too late.	手遅れになる前に海や海洋生物を守るため、Pacific Trash Vortexの大きさを小さくできるよう、私たちはごみをもっと減らし、再使用し、リサイクルする必要があります。
w90215960860861	refuse	2022	A few days later, Mrs Packletide’s story appeared in a British newspaper, which Loona Bimberton refused to look at for weeks.	数日後、ミセス・パクルタイドの記事がイギリスの新聞に載りましたが、ルーナ・ビンバートンは何週間もそれを見ようとしませんでした。
w90232705675095	region	2024	Altogether, a total of 1,000 were planted in Tokyo, 561 in the Tohoku region to remember the tsunami victims, and the rest were sent to schools and other organizations throughout the country.	全部で1,000本が植えられ、そのうち561本は津波犠牲者を追悼するため東北地方に植えられ、残りは全国の学校やほかの団体へ送られました。
w90145610379495	related	2026	For example, if you feel stressed or worried during the day, you might dream about something related to those feelings.	例えば、日中にストレスや不安を感じたなら、その感情に関係することを夢に見るかもしれません。
w90380377749976	reliable	2026	Group decisions are not reliable when weaver ants carry large or live food items.	ツムギアリが大きな物や生きた物を運ぶとき、集団の決定は信頼できません。
w90564353568629	request	2025	You’re going to request $250, aren’t you?	250ドルを要求するつもりなんですよね。
w90934566458478	resist	2022	Meanwhile, you should be careful of how you use digital devices and resist multitasking if you would like to have a good memory.	一方、良い記憶力を保ちたいなら、デジタル機器の使い方に注意し、マルチタスクを避けるべきです。
w90173228948871	respond	2024	The researchers found that bees not only respond to rewards but also do activities that might bring them joy.	研究者たちは、ミツバチが報酬に反応するだけでなく、喜びをもたらすかもしれない活動もすることを発見しました。
w90653471361368	restrictive	2025	However, it supports other studies that suggest uniforms can be restrictive, especially for girls.	しかし、この結果は、制服が特に女子にとって動きを制限することがあると示す別の研究を裏づけています。
w90688589717539	review	2019	to review a restaurant	レストランを評価する（レビューする）ために
w90318449380079	secondary	2025	However, this gap was not seen in older children at secondary schools.	しかし、この差は中等学校の年長の子どもたちでは見られませんでした。
w90115304089472	selection	2024	I’d recommend the Italian selection – it’s very popular.	イタリア料理のセットをお勧めします。とても人気があります。
w90481185153733	sell	2019	The local flower shop sells beautiful red roses and yellow sunflowers.	地元の花屋では、美しい赤いバラと黄色いヒマワリを売っています。
w90015015393735	send	2020	We’ll then send you your membership card by post within a week.	その後、1週間以内に会員カードを郵送します。
w90903283296859	several	2019	It can kill several super-strong bacteria, which old antibiotics cannot fight against any more.	それは、古い抗生物質ではもう効かない非常に強い細菌をいくつか殺すことができます。
w90126588796346	simple	2025	They mix farming and herding with simple technology.	彼らは農業と牧畜を簡単な技術と組み合わせています。
w91036774836158	size	2021	By the next decade, people developed computers that were the size of a large room.	次の10年間までに、人々は大きな部屋ほどの大きさのコンピューターを開発しました。
w91070359995258	sound	2023	Opening your mouth wide like this (yawn sound) – this is called yawning.	このように口を大きく開けること（あくびの音）を、yawning（あくびをすること）といいます。
w90883688322686	speak	2021	It takes courage for second-language learners to speak in front of others as they make mistakes.	第二言語の学習者が間違いをしながら人前で話すには勇気が必要です。
w90702532660883	species	2022	Did you know that rainforests cover six percent of the Earth's surface and contain over half of the world's plant and animal species?	熱帯雨林は地球表面の6％を覆い、世界の動植物種の半分以上を含んでいることを知っていますか。
w91087946623990	stand	2025	He couldn’t stand up for an hour.	彼は1時間立ち上がることができませんでした。
w90405829224524	starve	2021	We are all going to starve.”	「私たちはみんな餓死してしまう。」
w90029015156346	stay	2025	They did this to help their buildings stay strong during earthquakes.	彼らは地震のときに建物を強く保つために、そうしました。
w91032204518885	successful	2020	Although the writer tried hard to win Sheila’s love, he was not successful.	筆者はシーラの愛を得ようと懸命に努力しましたが、成功しませんでした。
w91070363166719	summary	2022	summary	要約
w90317942461476	surface	2022	Did you know that rainforests cover six percent of the Earth's surface and contain over half of the world's plant and animal species?	熱帯雨林は地球表面の6％を覆い、世界の動植物種の半分以上を含んでいることを知っていますか。
w90422655601588	survey	2022	In the survey, some participants reported more media multitasking than others.	調査では、一部の参加者はほかの人よりも多くメディアを同時に利用していると報告しました。
w90343405148657	target	2025	We chose our target: a ten-year-old boy named Johnny Dorset.	私たちは標的を決めました。ジョニー・ドーセットという10歳の少年です。
w90173244658161	task	2021	Now, learning a second language later in life may seem like a challenging task for many of you, especially after university.	さて、大学卒業後など、人生の後半で第二言語を学ぶことは、多くの人にとって難しい課題に思えるかもしれません。
w90945261587363	term	2026	During sleep, the brain moves information from short-term to long-term memory.	睡眠中、脳は情報を短期記憶から長期記憶へ移します。
w90127256477214	theory	2026	One theory is that dreams help us figure out our emotions.	一つの理論では、夢は自分の感情を理解するのに役立つとされています。
w90316468797327	threatened	2021	But it’s also seriously threatened by the warming waters caused by climate change.	しかし、気候変動によって海水温が上昇し、これも深刻な脅威にさらされています。
w90994900313919	together	2025	The Incas made their buildings from stones cut to fit perfectly together.	インカ人は、ぴったり組み合わさるように切った石で建物を造りました。
w90858382510410	toward	2020	Sheila said, pointing toward the water.	シーラは水の方を指さしながら言いました。
w90434204552970	traditional	2025	Another study in Chile showed that children were more active when they wore sport-friendly uniforms instead of traditional clothes like skirts and blazers.	チリで行われた別の研究では、スカートやブレザーのような伝統的な服ではなく、運動に適した制服を着たときのほうが子どもたちは活発であることが示されました。
w90884518831409	transport	2026	One amazing behavior is cooperative transport.	驚くべき行動の一つが、協力して物を運ぶことです。
